"","date","incident_num","incident_type","city","state","zip","county","destroyed","major","minor","affected","injured","hospitalized","deceased","adults","children","families","assistance","verified","dispatched","responders_id","on_scene","departed"
"1",2014-01-01,140533,"Fire","CHICAGO","IL",60626,"Cook",0,2,2,1,0,0,0,10,8,5,NA,2014-01-01 07:00:00,2014-01-01 08:00:00,2014-01-01 08:08:00,2014-01-01 09:08:00,2014-01-02 01:45:00
"2",2014-01-01,140534,"Police","CALUMET CITY","IL",60409,"Cook",0,1,0,0,0,0,0,1,0,1,NA,2014-01-01 14:25:00,2014-01-01 14:30:00,2014-01-01 15:20:00,2014-01-01 16:00:00,2014-01-01 16:00:00
"3",2014-01-01,140535,"Fire","HOMEWOOD","IL",60430,"Cook",0,0,1,0,0,0,0,4,0,1,NA,2014-01-01 16:05:00,2014-01-01 16:20:00,2014-12-30 20:13:00,2014-01-01 17:30:00,2014-01-01 18:10:00
"4",2014-01-01,140536,"Fire","CHICAGO","IL",60609,"Cook",0,0,1,0,0,0,0,2,0,1,NA,2014-01-01 21:10:00,2014-01-01 21:15:00,2014-01-01 21:50:00,2014-01-01 22:59:00,2014-01-01 23:51:00
"5",2014-01-02,140537,"Fire","GURNEE","IL",60031,"Lake",0,1,1,0,0,0,0,0,0,0,NA,2014-01-02 07:40:00,2014-01-02 07:45:00,2014-01-02 08:10:00,2014-01-02 09:40:00,2014-01-02 22:15:00
"6",2014-01-02,140538,"Fire","CHICAGO","IL",60632,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2014-01-02,140539,"Fire","CHICAGO","IL",60608,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2014-01-02,140540,"Fire","MAYWOOD","IL",60153,"Cook",0,0,0,1,0,0,0,2,6,1,NA,2014-01-02 22:45:00,2014-01-02 22:59:00,2014-01-02 23:38:00,2014-01-03 00:00:00,2014-01-03 01:41:00
"9",2014-01-02,140541,"Fire","CHICAGO","IL",60620,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-01-03,140542,"Fire","CHICAGO","IL",60619,"Cook",NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
"11",2014-01-03,140543,"Fire","CHICAGO","IL",60639,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2014-01-03,140544,"Fire","GARY","IL",46407,"Lake",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"13",2014-01-03,140545,"Fire","CHICAGO","IL",60611,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2014-01-03,140546,"Fire","DARIEN","IL",60561,"DuPage",NA,NA,NA,NA,NA,NA,NA,9,0,4,NA,NA,NA,NA,NA,NA
"15",2014-01-03,140547,"Fire","GRANT PARK","IL",60940,"Kankakee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2014-01-03,140548,"Fire","CHICAGO","IL",60653,"Cook",NA,NA,NA,NA,NA,NA,NA,3,0,2,NA,NA,NA,NA,NA,NA
"17",2014-01-04,140549,"Fire","CHICAGO","IL",60621,"Cook",NA,NA,NA,NA,NA,NA,NA,13,0,2,NA,NA,NA,NA,NA,NA
"18",2014-01-05,140550,"Fire","St. Charles","IL",63301,"Kane",NA,NA,NA,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,NA,NA
"19",2014-01-05,140551,"Fire","CHICAGO","IL",60628,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2014-01-05,140552,"Fire","LOCKPORT","IL",60441,"Will",NA,NA,NA,NA,NA,NA,NA,8,0,1,NA,NA,NA,NA,NA,NA
"21",2014-01-05,140553,"Fire","CHICAGO","IL",60623,"Cook",NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA
"22",2014-01-07,140554,"Fire","BONFIELD","IL",60913,"Kankakee",NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
"23",2014-01-05,140555,"Fire","CHICAGO","IL",60609,"Cook",NA,NA,NA,NA,NA,NA,NA,8,0,2,NA,NA,NA,NA,NA,NA
"24",2014-01-08,140556,"Fire","HAMMOND","IN",46320,"Lake",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"25",2014-01-06,140557,"Fire","CHICAGO","IL",60651,"Cook",NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
"26",2014-01-06,140558,"Fire","CHICAGO","IL",60609,"Cook",NA,NA,NA,NA,NA,NA,NA,9,0,3,NA,NA,NA,NA,NA,NA
"27",2014-01-06,140559,"Flood","SAUK VILLAGE","IL",60411,"Cook",NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA
"28",2014-01-07,140560,"Fire","BOURBONNAIS","IL",60914,"Kankakee",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"29",2014-01-07,140561,"Fire","CHICAGO","IL",60620,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
