Zip,Median,Mean,Pop
46303,62552.9295,72398.1877,14170
46307,70681.805300000007,83566.1139,60619
46311,79161.6152,91467.7381,20816
46312,31198.5057,40088.09,29698
46319,55029.8807,64289.2237,18404
46320,26531.9796,35661.9672,15508
46321,74502.585,91236.7665,23603
46322,58371.263,67851.1761,23727
46323,45721.0506,50198.8804,22743
46324,42745.1269,50537.6814,23165
46327,32704.201,39296.459,12153
46342,54386.6003,60153.5618,31244
46356,63181.1365,68479.6749,17524
46368,52120.5949,61646.6227,38686
46402,20262.8584,29806.4082,6726
46403,39064.9878,48522.0108,12601
46404,28033.2373,35502.7759,17326
46405,38268.7412,45854.917,11746
46406,28729.9749,35948.46,9900
46407,21667.2887,30774.3289,12656
46408,37581.3735,46035.6136,17030
46409,33846.4978,41216.3986,8932
46410,48459.6866,56192.6163,38340
47963,43073.8004,54234.2112,1949
52001,40809.4197,52817.9475,43173
57106,58404.8986,65970.2658,39852
60002,78051.555,87531.7847,24299
60004,78326.33,97959.9526,50582
60005,70999.9189,92035.0257,29308
60007,67971.2558,81271.3878,33820
60008,65773.7353,78385.3753,22717
60010,117974.1644,162539.1584,43960
60012,83389.0345,102491.7028,11120
60013,96454.8935,110631.2355,26872
60014,80789.1887,93875.0767,48550
60015,123608.9089,167006.296,26800
60016,59141.4328,69930.0981,59690
60018,52862.4953,64462.0927,30099
60020,64292.8834,71583.4141,9825
60021,87957.5759,116816.6184,5545
60022,201353.594,296519.3608,8153
60025,97538.8072,123484.5592,39105
60026,106812.8762,150274.9217,13335
60030,88492.1918,104384.6748,36056
60031,88431.7088,106220.9721,37947
60033,54821.6304,67715.3517,13922
60034,74793.6022,83276.9565,2040
60035,117473.1617,172821.1414,29763
60040,71594.9748,103312.4688,5431
60041,62143.873,72806.38,9250
60042,73356.2666,79267.6608,8547
60044,116250.4223,159284.3478,9792
60045,137058.7502,251608.7964,20925
60046,89179.4394,101462.9302,35111
60047,123787.7533,151640.0602,41669
60048,109619.1964,142884.3243,29095
60050,68689.3485,81458.1126,31620
60051,72490.1682,82744.3773,25192
60053,69404.2199,85367.4476,23260
60056,70756.9684,85128.2857,55219
60060,83334.2686,100975.5064,37189
60061,102483.5986,122604.1344,25748
60062,102161.2331,144089.1259,39936
60064,41598.8106,49458.1302,15406
60067,89822.1538,112844.9489,38585
60068,87787.0854,119667.5391,37475
60069,138177.7968,174269.0407,8384
60070,56533.7161,70026.9784,16001
60071,74998.6375,83555.9125,3598
60072,74218.9522,84208.407,928
60073,67316.5088,76073.214,60002
60074,71609.8764,86328.0381,38985
60076,69958.1629,89645.9776,33415
60077,59983.4384,72884.8292,26825
60081,81789.1634,94167.5928,10079
60083,81629.7262,107737.6326,9838
60084,73081.9635,84189.4588,16771
60085,44545.0724,53067.535,71714
60087,58772.7027,66986.4851,26978
60089,96161.6094,116933.8981,41533
60090,56432.8265,68676.0708,37633
60091,137738.8774,196711.4298,27020
60093,174450.5393,270926.6089,19570
60096,76508.7506,79528.4374,6897
60097,73692.9762,85256.9572,11250
60098,65418.5088,74387.6842,32228
60099,57341.517,65811.9718,31104
60101,63140.1175,72909.5158,39119
60102,86626.6013,99735.3562,30564
60103,85214.8448,97657.7589,41928
60104,57968.2196,63510.6187,19038
60106,58285.2302,64951.7839,20309
60107,71399.4587,79014.233,39927
60108,69544.0183,90010.8303,22735
60110,53566.1403,63051.2572,33553
60112,67160.3565,73279.8565,4560
60115,40629.3261,51581.7774,46272
60118,78495.7316,95227.2603,15851
60119,116390.2809,136364.2882,10371
60120,58389.7232,68777.0243,50955
60123,58463.2921,66152.9221,47405
60124,92975.457,104526.4058,18935
60126,87215.7595,119415.1372,46371
60130,52219.1754,69490.6074,14167
60131,55672.7392,62550.7452,18097
60133,66155.5045,74700.8566,38103
60134,101940.5596,121034.473,28565
60135,65260.7365,70558.4652,7248
60136,98722.0571,110296.6916,7013
60137,92565.6863,123086.7731,37805
60139,67305.5306,78847.2962,34381
60140,80388.3257,92192.1217,14341
60142,81402.1557,91609.129,26447
60143,82995.9197,97517.2787,10360
60145,67255.8103,77943.0591,2627
60146,66029.3009,75670.4074,2713
60148,69887.9395,79038.941,51468
60150,63763.615,74215.76,1794
60151,77815.8741,82849.3938,4061
60152,63960.6768,76356.0209,12533
60153,47575.8578,57764.4685,24106
60154,67956.0753,76036.909,16773
60155,47923.951,66547.1102,7927
60156,86334.5028,97743.0581,28987
60157,70792.7682,92057.0914,2380
60160,44615.9105,52498.6484,25432
60162,60398.914,64936.5771,8111
60163,52724,64071,5209
60164,53318.1063,61752.9818,22048
60165,49424.3454,57451.5829,4946
60169,66192.9952,75136.9082,33847
60171,48739.2092,57091.731,10246
60172,78428.2591,91510.8408,24537
60173,65644.3727,83384.7692,12217
60174,83284.7439,109703.8506,30752
60175,114049.6921,137076.1087,25564
60176,48765.1648,61453.8718,11795
60177,90647.915,106444.8676,22659
60178,68689.1617,81319.9419,21840
60180,64989.0284,82338.5112,1694
60181,67866.6939,74742.9859,28836
60184,97147.0051,133538.6451,2448
60185,75781.9782,91876.6033,36527
60187,81993.9797,106140.0759,29016
60188,78908.0591,87641.5489,42656
60189,97595.7027,126904.6139,30472
60190,84270.1598,103170.7167,10663
60191,61924.1057,78430.9942,14310
60192,100805.6835,118336.101,16343
60193,72681.8402,85400.9019,39188
60194,77905.6269,89181.7704,19777
60195,69629.8864,83140.704,4769
60201,68759.5928,108769.7738,43125
60202,68635.0369,96804.206,31361
60203,110924.9872,148930.1232,4523
60302,85692.8119,116810.1487,32108
60304,89093.2923,98315.2406,17231
60305,112815.3008,174742.0096,11172
60401,75841.7305,83497.2417,7797
60402,50135.4914,60074.7605,63448
60403,55932.9593,64673.4397,17529
60404,87064.895,99182.9486,17395
60406,42272.9285,48965.2964,25460
60407,59732.6268,63751.3036,1684
60408,62897.6256,62908.6576,5696
60409,44146.1577,52264.7208,37186
60410,81908.0997,89691.3875,12687
60411,46734.8063,56963.9871,58136
60415,50249.9172,56777.269,14139
60416,65452.5723,70689.3343,9397
60417,72106.3812,81550.6928,15547
60419,49951.4922,59418.7733,22788
60420,47949.2459,60422.867,6102
60421,73739.0989,76484.6428,3968
60422,77540.7857,110887.8272,9403
60423,100979.7855,117332.4704,30423
60424,57739.6354,63691.2961,2440
60425,56023.3008,65781.3371,9117
60426,35344.4621,44936.7356,29594
60428,46530.4698,55964.0338,12203
60429,56100.8096,66137.3413,15630
60430,73480.8747,84572.6774,20094
60431,75602.1393,82119.5388,22577
60432,42979.7665,51831.0982,21403
60433,42294.2525,52165.9751,17160
60435,55024.3273,62124.2285,48899
60436,44160.6088,52650.7229,18315
60438,53976.5863,61706.597,28884
60439,89759.451,108593.2385,22919
60440,72926.9717,80729.4656,52911
60441,69032.5874,76246.6313,33605
60442,83584.5694,90319.2538,9924
60443,64892.2778,73167.6631,21145
60444,67322.7255,75465.0809,1761
60445,59632.5955,68526.4734,26057
60446,68397.2315,73489.5297,39807
60447,74301.8785,85813.5411,13709
60448,90407.6881,102852.5788,24423
60449,72186.0866,87814.2252,9217
60450,64254.4586,75523.444,20332
60451,90297.5147,99254.5175,34063
60452,66443.3894,71445.2159,27969
60453,58593.4064,71901.7495,56855
60455,52254.7025,62516.0597,16446
60456,47214,51799,4349
60457,57447.1951,67717.834,14049
60458,53648.8669,62733.6507,14428
60459,58618.2281,65875.0403,28929
60461,77201.476,99336.9929,4836
60462,76909.6327,92025.5301,38723
60463,80235.3492,98600.432,14671
60464,84238.485,120729.2135,9620
60465,58236.9404,70352.7165,17495
60466,50579.8932,56450.4051,22115
60467,88903.1797,105652.0344,26046
60468,69989.0303,84168.8835,6116
60469,44488.4825,53381.1125,5930
60470,51587.9392,62281.4267,616
60471,56254.127,65337.8547,14101
60472,25304.5282,35947.9602,5390
60473,60324.555,68856.8032,22439
60474,56799,62530,760
60475,45507.4291,54304.9403,9870
60476,50609,55398,2391
60477,70229.3624,78562.3138,38161
60478,59912.5409,67431.1275,16833
60479,69600.8803,77708.0904,760
60480,71839.9881,105520.2742,5246
60481,60869.0926,68818.9035,11851
60482,49395.3687,58680.3211,11063
60484,53810.6699,61746.8064,6829
60487,89398.7222,99615.4348,26928
60490,108159.1259,119019.1589,20463
60491,93282.12,107036.9476,22743
60501,48859.7136,54350.4096,11626
60502,100878.6339,120057.6949,21873
60503,98236.5754,103329.5728,16717
60504,75051.9038,84844.2112,37919
60505,45385.0912,53613.4591,76573
60506,53099.4011,64460.0413,53013
60510,91953.942,106829.2939,28897
60511,78592.4124,82764.2266,1793
60512,85951,92844,1111
60513,66858.2925,74650.1754,19047
60514,116005.8604,159184.6743,9708
60515,81649.7784,116007.6372,27503
60516,79954.0753,97736.2928,29084
60517,78611.949,90702.9449,32038
60518,53392.9401,59235.346,3580
60520,65938,80534,2886
60521,171584.8312,240711.7817,17597
60523,82617.481,139760.1304,9890
60525,85154.746,118292.3178,31168
60526,79336.2562,96657.0493,13576
60527,81182.2811,124110.7859,27486
60531,67390.3615,71136.8062,1861
60532,76037.7802,96984.4467,27066
60534,53775.6774,62138.5342,10649
